symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-03-02 09:00:00+00:00,260.9,261.54,260.46,260.83,7638.0,242.0,260.944993
AAPL,2026-03-02 09:01:00+00:00,260.77,261.07,260.77,261.07,3141.0,48.0,260.932059
AAPL,2026-03-02 09:02:00+00:00,261.07,261.35,261.07,261.2,2083.0,53.0,261.210208
AAPL,2026-03-02 09:03:00+00:00,261.35,261.4,261.35,261.4,380.0,19.0,261.382274
AAPL,2026-03-02 09:04:00+00:00,261.29,261.4,261.29,261.4,483.0,16.0,261.375
AAPL,2026-03-02 09:05:00+00:00,261.3,261.4,261.3,261.4,469.0,28.0,261.343668
AAPL,2026-03-02 09:07:00+00:00,261.37,261.37,261.24,261.24,1307.0,37.0,261.324768
AAPL,2026-03-02 09:08:00+00:00,261.18,261.2,261.05,261.11,3918.0,84.0,261.14887
AAPL,2026-03-02 09:10:00+00:00,261.0,261.0,261.0,261.0,835.0,35.0,261.0
AAPL,2026-03-02 09:11:00+00:00,261.3,261.3,261.06,261.06,1707.0,68.0,261.166
AAPL,2026-03-02 09:12:00+00:00,261.15,261.15,261.0,261.0,2157.0,34.0,261.032072
AAPL,2026-03-02 09:14:00+00:00,261.15,261.31,261.15,261.27,2060.0,38.0,261.214855
AAPL,2026-03-02 09:15:00+00:00,261.27,261.29,261.27,261.29,347.0,15.0,261.28005
AAPL,2026-03-02 09:18:00+00:00,261.35,261.35,261.35,261.35,428.0,10.0,261.35
AAPL,2026-03-02 09:19:00+00:00,261.4,261.4,261.2,261.2,1080.0,25.0,261.305559
AAPL,2026-03-02 09:20:00+00:00,261.3,261.3,261.3,261.3,517.0,15.0,261.3
AAPL,2026-03-02 09:21:00+00:00,261.18,261.18,261.16,261.16,837.0,35.0,261.169646
AAPL,2026-03-02 09:22:00+00:00,261.31,261.41,261.31,261.41,812.0,36.0,261.354248
AAPL,2026-03-02 09:23:00+00:00,261.28,261.28,261.28,261.28,107.0,6.0,261.28
AAPL,2026-03-02 09:27:00+00:00,260.94,260.94,260.77,260.77,903.0,35.0,260.8175
AAPL,2026-03-02 09:28:00+00:00,260.77,260.78,260.76,260.76,1920.0,39.0,260.763074
AAPL,2026-03-02 09:29:00+00:00,260.51,260.51,260.5,260.5,1352.0,68.0,260.503745
AAPL,2026-03-02 09:30:00+00:00,260.4,260.5,260.4,260.5,2205.0,39.0,260.490595
AAPL,2026-03-02 09:31:00+00:00,260.73,260.73,260.73,260.73,669.0,11.0,260.73
AAPL,2026-03-02 09:32:00+00:00,260.71,260.75,260.71,260.75,668.0,16.0,260.735684
AAPL,2026-03-02 09:34:00+00:00,260.75,260.81,260.75,260.81,1605.0,19.0,260.762142
AAPL,2026-03-02 09:36:00+00:00,260.68,260.68,260.68,260.68,269.0,9.0,260.68
AAPL,2026-03-02 09:38:00+00:00,260.71,260.86,260.71,260.84,3167.0,46.0,260.816017
AAPL,2026-03-02 09:39:00+00:00,260.67,260.67,260.67,260.67,434.0,16.0,260.67
AAPL,2026-03-02 09:40:00+00:00,260.77,260.77,260.77,260.77,449.0,15.0,260.77
AAPL,2026-03-02 09:41:00+00:00,260.69,260.69,260.62,260.62,1463.0,37.0,260.639377
AAPL,2026-03-02 09:43:00+00:00,260.82,260.87,260.8,260.87,1502.0,38.0,260.853027
AAPL,2026-03-02 09:44:00+00:00,260.87,261.03,260.87,261.03,1716.0,58.0,260.956988
AAPL,2026-03-02 09:47:00+00:00,260.89,260.89,260.89,260.89,552.0,14.0,260.89
AAPL,2026-03-02 09:49:00+00:00,261.0,261.17,260.98,261.17,1084.0,41.0,261.04793
AAPL,2026-03-02 09:53:00+00:00,261.02,261.02,261.02,261.02,254.0,12.0,261.02
AAPL,2026-03-02 09:57:00+00:00,261.2,261.2,261.2,261.2,667.0,18.0,261.2
AAPL,2026-03-02 09:58:00+00:00,261.2,261.2,261.14,261.14,582.0,15.0,261.188439
AAPL,2026-03-02 10:01:00+00:00,261.4,261.43,261.4,261.43,735.0,24.0,261.413932
AAPL,2026-03-02 10:02:00+00:00,261.45,261.45,261.45,261.45,1240.0,39.0,261.45
AAPL,2026-03-02 10:03:00+00:00,261.45,261.5,261.45,261.5,2267.0,56.0,261.476608
AAPL,2026-03-02 10:05:00+00:00,261.67,261.79,261.67,261.79,507.0,10.0,261.76
AAPL,2026-03-02 10:09:00+00:00,261.6,261.63,261.6,261.63,964.0,23.0,261.625349
AAPL,2026-03-02 10:10:00+00:00,261.48,261.48,261.48,261.48,173.0,5.0,261.48
AAPL,2026-03-02 10:11:00+00:00,261.45,261.45,261.42,261.42,744.0,29.0,261.428358
AAPL,2026-03-02 10:19:00+00:00,261.51,261.52,261.51,261.52,562.0,17.0,261.51545
AAPL,2026-03-02 10:21:00+00:00,261.55,261.55,261.55,261.55,1249.0,15.0,261.55
AAPL,2026-03-02 10:23:00+00:00,261.5,261.5,261.5,261.5,262.0,9.0,261.5
AAPL,2026-03-02 10:27:00+00:00,261.23,261.23,261.23,261.23,540.0,27.0,261.23
AAPL,2026-03-02 10:28:00+00:00,261.21,261.21,261.21,261.21,1018.0,32.0,261.21
AAPL,2026-03-02 10:29:00+00:00,261.18,261.2,261.18,261.2,2000.0,22.0,261.197762
AAPL,2026-03-02 10:30:00+00:00,261.17,261.17,261.02,261.07,1963.0,66.0,261.096209
AAPL,2026-03-02 10:32:00+00:00,261.26,261.35,261.26,261.35,1285.0,27.0,261.325518
AAPL,2026-03-02 10:34:00+00:00,261.35,261.35,261.35,261.35,712.0,17.0,261.35
AAPL,2026-03-02 10:36:00+00:00,261.45,261.56,261.15,261.15,3326.0,76.0,261.466047
AAPL,2026-03-02 10:38:00+00:00,261.28,261.28,261.28,261.28,602.0,26.0,261.28
AAPL,2026-03-02 10:39:00+00:00,261.41,261.41,261.41,261.41,384.0,9.0,261.41
AAPL,2026-03-02 10:41:00+00:00,261.12,261.12,261.07,261.08,638.0,22.0,261.085066
AAPL,2026-03-02 10:42:00+00:00,261.09,261.09,261.09,261.09,520.0,37.0,261.09
AAPL,2026-03-02 10:43:00+00:00,261.21,261.21,261.18,261.18,343.0,15.0,261.195
AAPL,2026-03-02 10:44:00+00:00,261.08,261.1,261.08,261.1,538.0,15.0,261.089041
AAPL,2026-03-02 10:48:00+00:00,261.05,261.05,261.05,261.05,340.0,20.0,261.05
AAPL,2026-03-02 10:49:00+00:00,261.0,261.0,261.0,261.0,673.0,14.0,261.0
